area_id,weight,volume,fat,sugar,saturate,protein,carb,salt,fibre,energy_fat,energy_sugar,energy_saturate,energy_protein,energy_fibre,energy_carb,energy_tot,number_reception_measured,number_y6_measured,prevalence_overweight_reception,prevalence_overweight_y6,prevalence_obese_reception,prevalence_obese_y6
E05000568,66.25437267440863,20.948594274960207,2.031639196681089,2.489387844157,0.7687312785035676,1.1701466503503855,4.458953512061153,0.12618420518160592,0.3804545940927316,18.284752770130478,9.957551376628002,6.918581506529049,4.680586601401542,0.7055095304392148,17.83581404824461,41.84287565542999,398,296,0.190954774,0.388513514,0.08040201,0.239864865
E05000569,65.8336617956711,21.11809865787192,2.1375447592734287,2.6408013589660166,0.8146945534066246,1.174661974804331,4.603402530013548,0.12072380282319022,0.39324849576832815,19.23790283345903,10.563205435864067,7.332250980658471,4.698647899217324,0.7302415973848483,18.413610120054187,43.430666415442495,417,306,0.191846523,0.320261438,0.071942446,0.156862745
E05000570,63.480744686385115,20.17942592423767,2.1021253814530954,2.629702564394329,0.8087807098134728,1.2380186492988503,4.460814018779229,0.13006214321054807,0.3808688296544142,18.919128433076835,10.518810257577314,7.279026388319755,4.952074597195402,0.7106237188095849,17.843256075116916,42.722131715781735,339,253,0.206489676,0.359683794,0.08259587,0.245059289
E05000571,68.29566259850534,22.65495289885675,2.1235687785783273,2.5361586212806233,0.8088941572534273,1.191285345392524,4.465991438422811,0.1314564609410142,0.37553097298963817,19.112119007209486,10.144634485122493,7.280047415280197,4.765141381570096,0.6915797178461226,17.863965753691243,42.85387654409623,499,382,0.204408818,0.410994764,0.100200401,0.227748691
E05000572,62.67785362383112,23.210827907578942,1.9515761054940988,2.5500539782601757,0.7380181694778079,1.1747061239834415,4.507438692791462,0.12340738202142618,0.38558874617423833,17.564184949447412,10.200215913040703,6.642163525298063,4.698824495933766,0.7133305162656801,18.029754771165848,41.305874367903655,464,340,0.237068966,0.320588235,0.079741379,0.182352941
E05000590,96.50352029463153,26.660446198691265,2.07639137746531,2.2043683032024166,0.8228052308956318,1.224073786403485,4.106659922901626,0.13727178243672505,0.35163627462344066,18.68752239727818,8.817473212809666,7.405247078070099,4.89629514561394,0.6610581259585632,16.4266396916065,40.979832267921594,582,425,0.214776632,0.390588235,0.108247423,0.24
E05000591,97.3475281231197,26.725761332922957,2.033636370712121,2.192264011080339,0.800306950175832,1.2163836664398475,4.105230562140953,0.13843564623793056,0.3475412976344442,18.302727336468767,8.769056044321356,7.20276255152496,4.86553466575939,0.6542694954806781,16.420922248563812,40.57318558537901,464,402,0.230603448,0.380597015,0.118534483,0.251243781
E05000592,90.7798543338404,26.442546509981312,2.0256706968839215,2.2404793686057576,0.8065386979751916,1.219354095151208,4.170566876349598,0.13972831055880475,0.3533946206503203,18.231036272023665,8.961917474423032,7.258848281749964,4.877416380604832,0.6646553110717072,16.682267505398393,40.847874473516285,634,493,0.222397476,0.365111562,0.100946372,0.227180527
E05000593,86.52526366264465,26.083195896072905,1.9689189059281091,2.2271186580569005,0.7862110687475224,1.2672042812120403,4.0760418996091525,0.1431929087890377,0.3590039536728593,17.720270153435568,8.908474632227602,7.075899618698912,5.0688171248481595,0.6790642997148157,16.30416759843661,40.24153785420027,321,270,0.196261682,0.325925926,0.08411215,0.177777778
E05000594,89.18980431601089,26.229217282046417,1.9803886226208318,2.22427596417042,0.7842377139387724,1.252653720106682,4.157494451013164,0.14690938149911498,0.35880085590241284,17.82349760367363,8.89710385668168,7.058139425446757,5.010614880426728,0.6765220555746932,16.629977804052658,40.56295465819291,338,325,0.186390533,0.356923077,0.088757396,0.196923077
